Time FPGA: 263.38 ms.
Time CPU: 7.88092 ms.
Error at index 0 ; gold=0; out=0.334622
Error at index 1 ; gold=0; out=0.369709
Error at index 2 ; gold=0; out=0.0559342
Error at index 3 ; gold=0; out=0.536068
Error at index 4 ; gold=0; out=0.335888
Error at index 5 ; gold=0; out=0.901284
Error at index 6 ; gold=0; out=0.385104
Error at index 7 ; gold=0; out=0.836249
Error at index 8 ; gold=0; out=0.463809
Error at index 9 ; gold=0; out=0.0362447
Error at index 10 ; gold=0; out=0.0983214
Error at index 11 ; gold=0; out=0.240252
Error at index 12 ; gold=0; out=0.681679
Error at index 13 ; gold=0; out=0.551599
Error at index 14 ; gold=0; out=0.868095
Error at index 15 ; gold=0; out=0.244854
Error at index 16 ; gold=0; out=0.907575
Error at index 17 ; gold=0; out=0.0619826
Error at index 18 ; gold=0; out=0.788379
Error at index 19 ; gold=0; out=0.526425
Error at index 20 ; gold=0; out=0.559965
Error at index 21 ; gold=0; out=0.924606
Error at index 22 ; gold=0; out=0.878759
Error at index 23 ; gold=0; out=0.190937
Error at index 24 ; gold=0; out=0.916361
Error at index 25 ; gold=0; out=0.466016
Error at index 26 ; gold=0; out=0.923205
Error at index 27 ; gold=0; out=0.887287
Error at index 28 ; gold=0; out=0.969696
Error at index 29 ; gold=0; out=0.489691
Error at index 30 ; gold=0; out=0.77439
Error at index 31 ; gold=0; out=0.304318
Error at index 32 ; gold=0; out=0.8594
Error at index 33 ; gold=0; out=0.830324
Error at index 34 ; gold=0; out=0.840386
Error at index 35 ; gold=0; out=0.195288
Error at index 36 ; gold=0; out=0.731608
Error at index 37 ; gold=0; out=0.22549
Error at index 38 ; gold=0; out=0.0315378
Error at index 39 ; gold=0; out=0.195417
Error at index 40 ; gold=0; out=0.261735
Error at index 41 ; gold=0; out=0.129859
Error at index 42 ; gold=0; out=0.435669
Error at index 43 ; gold=0; out=0.943414
Error at index 44 ; gold=0; out=0.681459
Error at index 45 ; gold=0; out=0.303764
Error at index 46 ; gold=0; out=0.188269
Error at index 47 ; gold=0; out=0.589034
Error at index 48 ; gold=0; out=0.365746
Error at index 49 ; gold=0; out=0.976648
Error at index 50 ; gold=0; out=0.115459
Error at index 51 ; gold=0; out=0.925711
Error at index 52 ; gold=0; out=0.901254
Error at index 53 ; gold=0; out=0.994218
Error at index 54 ; gold=0; out=0.116648
Error at index 55 ; gold=0; out=0.817615
Error at index 56 ; gold=0; out=0.460233
Error at index 57 ; gold=0; out=0.0398526
Error at index 58 ; gold=0; out=0.704903
Error at index 59 ; gold=0; out=0.429929
Error at index 60 ; gold=0; out=0.529543
Error at index 61 ; gold=0; out=0.479292
Error at index 62 ; gold=0; out=0.734247
Error at index 63 ; gold=0; out=0.388943
Error at index 64 ; gold=0; out=0.309616
Error at index 65 ; gold=0; out=0.574633
Error at index 66 ; gold=0; out=0.584232
Error at index 67 ; gold=0; out=0.0412245
Error at index 68 ; gold=0; out=0.800123
Error at index 69 ; gold=0; out=0.61577
Error at index 70 ; gold=0; out=0.236642
Error at index 71 ; gold=0; out=0.0618585
Error at index 72 ; gold=0; out=0.745629
Error at index 73 ; gold=0; out=0.672311
Error at index 74 ; gold=0; out=0.00527287
Error at index 75 ; gold=0; out=0.427087
Error at index 76 ; gold=0; out=0.976075
Error at index 77 ; gold=0; out=0.193541
Error at index 78 ; gold=0; out=0.0161212
Error at index 79 ; gold=0; out=0.341821
Error at index 80 ; gold=0; out=0.170189
Error at index 81 ; gold=0; out=0.13158
Error at index 82 ; gold=0; out=0.267533
Error at index 83 ; gold=0; out=0.0714437
Error at index 84 ; gold=0; out=0.125797
Error at index 85 ; gold=0; out=0.384181
Error at index 86 ; gold=0; out=0.889059
Error at index 87 ; gold=0; out=0.58603
Error at index 88 ; gold=0; out=0.424033
Error at index 89 ; gold=0; out=0.593962
Error at index 90 ; gold=0; out=0.0159596
Error at index 91 ; gold=0; out=0.953576
Error at index 92 ; gold=0; out=0.0732543
Error at index 93 ; gold=0; out=0.750207
Error at index 94 ; gold=0; out=0.34252
Error at index 95 ; gold=0; out=0.382871
Error at index 96 ; gold=0; out=0.32484
Error at index 97 ; gold=0; out=0.926751
Error at index 98 ; gold=0; out=0.424095
Error at index 99 ; gold=0; out=0.124964
Error at index 100 ; gold=0; out=0.542521
Error at index 101 ; gold=0; out=0.660737
Error at index 102 ; gold=0; out=0.186822
Error at index 103 ; gold=0; out=0.28815
Error at index 104 ; gold=0; out=0.333048
Error at index 105 ; gold=0; out=0.192095
Error at index 106 ; gold=0; out=0.715237
Error at index 107 ; gold=0; out=0.309122
Error at index 108 ; gold=0; out=0.385636
Error at index 109 ; gold=0; out=0.731358
Error at index 110 ; gold=0; out=0.650943
Error at index 111 ; gold=0; out=0.555826
Error at index 112 ; gold=0; out=0.862938
Error at index 113 ; gold=0; out=0.918476
Error at index 114 ; gold=0; out=0.627269
Error at index 115 ; gold=0; out=0.988735
Error at index 116 ; gold=0; out=0.302657
Error at index 117 ; gold=0; out=0.516328
Error at index 118 ; gold=0; out=0.574766
Error at index 119 ; gold=0; out=0.72669
Error at index 120 ; gold=0; out=0.11029
Error at index 121 ; gold=0; out=0.590726
Error at index 122 ; gold=0; out=0.680266
Error at index 123 ; gold=0; out=0.183545
Error at index 124 ; gold=0; out=0.340933
Error at index 125 ; gold=0; out=0.0227862
Error at index 126 ; gold=0; out=0.566415
Error at index 127 ; gold=0; out=0.665773
Error at index 128 ; gold=0; out=0.949538
Error at index 129 ; gold=0; out=0.99051
Error at index 130 ; gold=0; out=0.790736
Error at index 131 ; gold=0; out=0.492059
Error at index 132 ; gold=0; out=0.651247
Error at index 133 ; gold=0; out=0.977558
Error at index 134 ; gold=0; out=0.780209
Error at index 135 ; gold=0; out=0.984295
Error at index 136 ; gold=0; out=0.169653
Error at index 137 ; gold=0; out=0.495446
Error at index 138 ; gold=0; out=0.293417
Error at index 139 ; gold=0; out=0.55529
Error at index 140 ; gold=0; out=0.226804
Error at index 141 ; gold=0; out=0.94436
Error at index 142 ; gold=0; out=0.111115
Error at index 143 ; gold=0; out=0.0897425
